Time	(reaction_1).k1	(reaction_2).k1	(reaction_2).k2	A.ParticleNumber	B.ParticleNumber	C.ParticleNumber
0	95	16.3379	1.444	0	15.8312	179.119
0	95	16.3379	1.672	0	18.0988	176.851
0	95	16.3379	1.9	1.61559e-027	20.3097	174.64
0	95	16.3379	2.128	0	22.466	172.484
0	95	16.3379	2.356	0	24.5697	170.38
0	95	16.3379	2.584	1.61559e-027	26.6227	168.327
0	95	16.3379	2.812	3.23117e-027	28.6268	166.323
0	95	16.3379	3.04	-1.61559e-027	30.5838	164.366

0	95	17.7794	0.76	-3.23117e-027	7.99173	186.958
0	95	17.7794	0.988	0	10.263	184.687
0	95	17.7794	1.216	-1.61559e-027	12.4798	182.47
0	95	17.7794	1.444	1.61559e-027	14.644	180.306
0	95	17.7794	1.672	3.23117e-027	16.7575	178.193
0	95	17.7794	1.9	-1.61559e-027	18.8219	176.128
0	95	17.7794	2.128	-1.61559e-027	20.8391	174.111
0	95	17.7794	2.356	0	22.8107	172.139
0	95	17.7794	2.584	1.61559e-027	24.738	170.212
0	95	17.7794	2.812	-3.23117e-027	26.6227	168.327
0	95	17.7794	3.04	0	28.4661	166.484

0	95	19.221	0.76	3.23117e-027	7.41514	187.535
